# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,
# COLUMN sy_gaiamag:     Gaia Magnitude,,,,,,,,
#,,,,,,,,
pl_name,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_gaiamag
Kepler-139 b,15.771044,,5594,1.3,,4.25,391.038,12.677
Kepler-139 c,157.072878,,5594,1.3,,4.25,391.038,12.677
Kepler-1390 b,6.48021673,,5753,0.98,0.98,4.45,723.431,14.4022
Kepler-1391 b,54.4092333,,5840,1.1,1.03,4.36,1038.35,13.8283
Kepler-1392 b,15.1410397,,5479,0.85,0.88,4.53,,15.6665
Kepler-1393 b,2.44357812,,5697,0.92,0.95,4.5,544.456,13.3324
Kepler-1394 b,3.93766373,,6481,2.55,1.64,3.84,640.409,11.7144
Kepler-1395 b,3.78470649,,6138,1.23,1.17,4.33,492.894,12.536
Kepler-1396 b,18.2206421,,6195,1.27,1.18,4.3,1066.46,14.5271
Kepler-1397 b,47.449955,,6026,1.12,1.09,4.37,1198.25,14.0909
Kepler-1398 b,2.78815679,,6126,1.18,1.13,4.34,852.204,13.6605
Kepler-1398 c,4.13827595,,6126,1.18,1.13,4.34,852.204,13.6605
Kepler-1399 b,1.63865306,,5735,0.96,0.97,4.47,1385.7,15.5074
Kepler-14 b,6.790123,2669.66,6395,2.05,1.51,3.99,,
Kepler-140 b,3.25427,,6077,1.29,,4.27,583.859,12.9412
Kepler-140 c,91.353282,,6077,1.29,,4.27,583.859,12.9412
Kepler-1400 b,9.06689421,,5044,0.78,0.83,4.58,752.237,15.7129
Kepler-1401 b,11.20066445,,5964,1.1,1.07,4.39,1425.43,14.9721
Kepler-1402 b,2.03387914,,5416,0.87,0.9,4.53,1493.64,14.6083
Kepler-1403 b,5.19492202,,6060,1.15,1.11,4.36,2163.9,15.5907
Kepler-1404 b,15.9314739,,5261,0.8,0.84,4.56,962.183,15.7029
Kepler-1405 b,28.2274184,,5925,1.07,1.05,4.4,1530.3,15.8175
Kepler-1406 b,11.62905828,,5892,1.12,1.05,4.36,572.403,13.3819
Kepler-1407 b,20.0711504,,6010,1.15,1.1,4.36,1396.41,14.8925
Kepler-1408 b,2.99793191,,6170,1.35,1.21,4.25,535.048,11.9622
Kepler-1409 b,0.76486493,,5160,0.79,0.83,4.57,694.89,15.172
Kepler-141 b,3.107675,,4910,0.79,,4.57,301.183,13.4205
Kepler-141 c,7.010606,,4910,0.79,,4.57,301.183,13.4205
Kepler-1410 b,60.866168,,4092,0.6,0.63,4.67,,15.9484
Kepler-1411 b,86.1150888,,5664,0.92,0.95,4.49,1660.48,15.7709
Kepler-1412 b,3.6146051,,5880,1.27,1.06,4.25,755.678,13.1928
Kepler-1413 b,13.1829642,,5196,0.8,0.84,4.57,1167.49,16.2846
Kepler-1414 b,3.51576315,,4951,0.75,0.8,4.59,570.835,14.8607
Kepler-1415 b,0.63642408,,5267,0.84,0.89,4.54,1043.56,15.7209
Kepler-1416 b,1.49514952,,6019,1.15,1.09,4.35,949.59,14.226
Kepler-1417 b,20.3505213,,5839,1.02,1.02,4.43,991.845,13.8576
Kepler-1418 b,22.4764425,,4770,0.72,0.77,4.61,,15.2813
Kepler-1419 b,42.5215895,,5796,1.01,1.01,4.43,1498.58,15.7181
Kepler-142 b,2.024152,,5790,1.27,,4.26,548.686,13.197
Kepler-142 c,4.761702,,5790,1.27,,4.26,548.686,13.197
Kepler-142 d,41.809118,,5790,1.27,,4.26,548.686,13.197
Kepler-1420 b,6.69960006,,5187,0.79,0.82,4.57,1054.37,15.8488
Kepler-1421 b,6.9131112,,6335,1.42,1.25,4.23,783.401,12.7261
Kepler-1422 b,18.6051942,,6194,1.23,1.15,4.32,2465.84,15.6194
Kepler-1423 b,23.955378,,4939,0.75,0.79,4.59,,14.5581
Kepler-1424 b,29.6091744,,5838,1.07,1.02,4.39,661.421,13.5925
Kepler-1425 b,14.4541302,,5718,0.95,0.97,4.47,863.873,13.5629
Kepler-1426 b,14.2563227,,5831,1.02,1.02,4.43,1697.81,15.1663
Kepler-1427 b,0.96897238,,5793,1.01,1.01,4.44,,15.4816
Kepler-1428 b,10.67607169,,6184,1.36,1.28,4.28,1530.32,13.5234
Kepler-1429 b,4.48487493,,5902,1.07,1.05,4.4,1214.09,14.8316
Kepler-143 b,16.007583,,5848,1.36,,4.2,809.467,13.7057
Kepler-143 c,27.082511,,5848,1.36,,4.2,809.467,13.7057
Kepler-1430 b,2.46050993,,4796,0.72,0.77,4.62,875.523,15.2824
Kepler-1431 b,5.86601526,,5806,1.03,1.03,4.42,1623.24,15.2711
Kepler-1432 b,23.9109011,,6031,1.13,1.09,4.37,2171.87,15.3702
Kepler-1433 b,4.13592271,,6097,1.19,1.14,4.34,,
Kepler-1434 b,8.05333618,,6291,2.04,1.47,3.98,775.529,12.0421
Kepler-1435 b,4.45343281,,6356,1.32,1.21,4.28,704.211,12.8692
Kepler-1436 b,9.705716,,5972,1.09,1.06,4.39,2530.62,14.9099
Kepler-1437 b,10.9295461,,5557,0.9,0.93,4.51,2101.69,15.6607
Kepler-1438 b,2.31942009,,5530,0.96,0.97,4.46,1154.13,14.861
Kepler-1439 b,8.07392849,,3578,0.43,0.46,4.83,225.393,16.0979
Kepler-144 b,5.885273,,6075,1.24,,4.29,384.917,11.9438
Kepler-144 c,10.104665,,6075,1.24,,4.29,384.917,11.9438
Kepler-1440 b,39.859484,,5698,0.96,0.98,4.46,1115.35,14.1018
Kepler-1441 b,39.4419839,,5802,1,1,4.45,1110.48,14.2567
Kepler-1442 b,81.4162941,,6394,1.44,1.34,4.25,608.68,12.0303
Kepler-1443 b,2.41811321,,6289,1.27,1.19,4.3,593.646,12.212
Kepler-1444 b,33.42035034,,5810,1.05,1.03,4.4,319.675,12.2578
Kepler-1445 b,10.60052251,,6150,1.26,1.13,4.28,506.357,12.4184
Kepler-1446 b,0.68996783,,4865,0.75,0.81,4.6,152.075,12.4086
Kepler-1447 b,56.6747285,,5722,0.95,0.97,4.47,890.296,14.6643
Kepler-1448 b,12.27065865,,5774,0.93,0.95,4.49,768.903,14.3796
Kepler-1449 b,13.2274528,,5979,1.1,1.08,4.39,2006.48,15.0306
Kepler-145 b,22.951,37.1,,1.85,1.32,4.02,566.85,11.8746
Kepler-145 c,42.882,79.4,,1.85,1.32,4.02,566.85,11.8746
Kepler-1450 b,54.5094166,,4524,0.68,0.71,4.63,505.829,15.4892
Kepler-1451 b,35.622233,,5782,0.99,1,4.45,1058.72,15.2999
Kepler-1452 b,42.913751,,6101,2.06,1.41,3.95,996.32,13.0714
Kepler-1453 b,47.1611696,,5665,0.94,0.97,4.48,1196.04,15.5278
Kepler-1454 b,47.0319479,,5448,0.86,0.9,4.53,780.566,14.8994
Kepler-1455 b,49.276764,,4075,0.6,0.62,4.68,357.621,15.8657
Kepler-1456 b,18.1373829,,4231,0.62,0.64,4.67,370.312,15.445
Kepler-1457 b,51.1110243,,5866,1.01,1.01,4.43,889.885,14.0283
Kepler-1458 b,47.9872764,,5653,0.94,0.96,4.48,544.45,14.1996
Kepler-1459 b,62.8691611,,4828,0.74,0.78,4.61,455.479,14.5519
Kepler-146 b,31.158799,,5948,1.21,,4.31,716.797,13.8031
Kepler-146 c,76.732171,,5948,1.21,,4.31,716.797,13.8031
Kepler-1460 b,29.9633247,,4422,0.67,0.7,4.64,553.218,15.9191
Kepler-1461 b,29.3494775,,4919,0.74,0.79,4.6,679.106,15.6949
Kepler-1462 b,65.6488341,,5756,1,1,4.45,1017.82,15.8562
Kepler-1463 b,25.15864,,5679,0.95,0.96,4.47,1687.47,15.7236
Kepler-1464 b,31.7785901,,5828,1.01,1.02,4.44,1151.73,14.1296
Kepler-1464 c,5.32786292,,5828,1.01,1.02,4.44,1151.73,14.1296
Kepler-1465 b,31.8277111,,4726,0.71,0.75,4.62,359.497,14.42
Kepler-1466 b,31.1750448,,5884,1.02,1.01,4.43,631.949,13.8694
Kepler-1467 b,47.0569043,,5332,0.82,0.86,4.55,852.888,15.5207
Kepler-1468 b,8.23984869,,5893,1.05,1.04,4.42,1899.24,14.9515
Kepler-1468 c,3.54553021,,5893,1.05,1.04,4.42,1899.24,14.9515
Kepler-1468 d,19.59059906,,5794,1.5,1.07,4.12,1899.24,14.9515
Kepler-1469 b,21.8635301,,5507,0.89,0.92,4.51,1159.3,15.9891
Kepler-147 b,12.610584,,6012,1.47,,4.18,1042.02,13.9151
Kepler-147 c,33.416423,,6012,1.47,,4.18,1042.02,13.9151
Kepler-1470 b,16.2950903,,4961,0.76,0.8,4.59,590.601,15.0436
Kepler-1471 b,3.63899398,,5660,0.93,0.95,4.48,978.678,15.246
Kepler-1471 c,11.6044881,,5533,1.17,0.93,4.28,978.678,15.246
Kepler-1472 b,38.1312831,,6159,1.25,1.16,4.31,1479.14,14.5898
Kepler-1473 b,14.4273551,,6046,1.09,1.09,4.4,652.253,13.3679
Kepler-1474 b,36.4333452,,5870,1.04,1.04,4.42,1180.9,15.2172
Kepler-1475 b,82.177374,,6214,1.28,1.18,4.29,1568.38,15.2775
Kepler-1476 b,10.35863224,,5663,0.96,0.98,4.47,1002.74,15.4086
Kepler-1477 b,11.55530021,,5100,0.78,0.81,4.58,680.828,14.5763
Kepler-1478 b,26.0840594,,5904,1.06,1.04,4.41,1845.58,15.3994
Kepler-1479 b,14.53261362,,5796,0.98,0.99,4.45,728.668,13.7331
Kepler-148 b,1.729366,,5272,0.85,,4.55,791.163,15.3362
Kepler-148 c,4.180043,,5272,0.85,,4.55,791.163,15.3362
Kepler-148 d,51.84688575,,5172,0.81,0.86,4.56,791.163,15.3362
Kepler-1480 b,22.12679948,,5156,0.81,0.85,4.56,500.892,14.4824
Kepler-1481 b,5.94220998,,4908,0.75,0.8,4.6,459.076,14.7429
Kepler-1482 b,12.25383217,,5381,0.84,0.88,4.54,567.556,13.7295
Kepler-1483 b,9.5085156,,6337,1.4,1.25,4.24,1273.78,14.4231
Kepler-1484 b,30.4549136,,5730,0.92,0.94,4.49,2879.83,15.2474
Kepler-1485 b,19.9157725,,6087,1.12,1.11,4.39,615.66,13.1796
Kepler-1486 b,54.6495759,,5965,1.12,1.08,4.38,1769.14,15.2937
Kepler-1487 b,7.31946363,,6541,1.63,1.38,4.16,1014.62,13.4508
Kepler-1487 c,35.8007112,,5745,3.96,1.8,3.5,1014.62,13.4508
Kepler-1488 b,39.8189932,,5820,1.31,1.05,4.22,905.825,13.0767
Kepler-1488 c,6.15826988,,5710,1.52,1,4.07,905.825,13.0767
Kepler-1489 b,82.294751,,5655,0.9,0.93,4.51,1283.05,14.8084
Kepler-149 b,29.198943,,5381,0.95,,4.46,571.034,14.0194
Kepler-149 c,55.328328,,5381,0.95,,4.46,571.034,14.0194
Kepler-149 d,160.018032,,5381,0.95,,4.46,571.034,14.0194
Kepler-1490 b,92.4362973,,5515,0.87,0.9,4.52,862.92,15.4179
Kepler-1491 b,16.5861762,,5728,0.99,1,4.45,2065.59,15.5695
Kepler-1491 c,61.569765,,5626,1.39,0.99,4.15,2065.59,15.5695
Kepler-1492 b,16.75255007,,4712,0.72,0.77,4.62,331.553,14.4962
Kepler-1493 b,15.0217983,,5863,1.29,1.06,4.24,555.051,13.5532
Kepler-1494 b,91.080482,,5659,0.94,0.96,4.48,1285.48,15.217
Kepler-1495 b,85.273256,,5831,1.04,1.03,4.42,1355.54,15.6247
Kepler-1496 b,64.6588017,,6182,1.27,1.18,4.29,1307.66,14.6819
Kepler-1497 b,8.74199772,,5675,0.95,0.96,4.47,,15.3761
Kepler-1498 b,48.051405,,5256,0.81,0.86,4.56,,15.0997
Kepler-1499 b,44.2008,,5097,0.78,0.82,4.58,309.869,13.5155
Kepler-15 b,4.942782,209.76,5515,0.99,1.02,4.46,739.412,13.7136
Kepler-150 b,3.428054,,5560,0.94,,4.47,891.092,14.9743
Kepler-150 c,7.381998,,5560,0.94,,4.47,891.092,14.9743
Kepler-150 d,12.56093,,5560,0.94,,4.47,891.092,14.9743
Kepler-150 e,30.826557,,5560,0.94,,4.47,891.092,14.9743
Kepler-150 f,637.2093,,5528,0.91,0.97,4.51,891.092,14.9743
Kepler-1500 b,15.0330105,,5845,1,1,4.44,1217.82,14.5804
Kepler-1501 b,14.5564533,,6229,1.3,1.2,4.28,749.06,13.6458
Kepler-1502 b,41.7083629,,6666,1.72,1.44,4.13,1514.02,14.0931
Kepler-1503 b,96.16987,,5069,0.74,0.77,4.59,1225.57,15.7862
Kepler-1504 b,82.304003,,5393,0.81,0.85,4.55,2435.94,15.6311
Kepler-1505 b,30.8609366,,5686,0.86,0.93,4.54,495.148,12.9258
Kepler-1506 b,14.0329154,,5676,0.93,0.95,4.49,2366.02,15.6243
Kepler-1507 b,16.0506213,,5410,0.85,0.89,4.53,320.478,13.1038
Kepler-1508 b,20.7056504,,6158,1.22,1.14,4.32,1260.28,14.3466
Kepler-1509 b,25.4338197,,5780,0.99,1,4.45,2002.96,15.3316
Kepler-151 b,15.228958,,5460,0.83,,4.55,649.919,14.7189
Kepler-151 c,24.674612,,5460,0.83,,4.55,649.919,14.7189
Kepler-1510 b,84.703921,,6200,1.28,1.19,4.29,1696.25,15.1424
Kepler-1511 b,23.2382792,,6064,1.29,1.17,4.28,1475.6,13.5024
Kepler-1512 b,20.35972599,,4372,0.67,0.73,4.64,,13.2634
Kepler-1513 b,160.8846509,,5617,0.97,0.99,4.46,349.247,12.9559
Kepler-1514 b,217.83184,1678.1424,6145,1.29,1.2,4.29,397.292,11.8292
Kepler-1514 c,10.514181,,6145,1.29,1.2,4.29,397.292,11.8292
Kepler-1515 b,214.3114164,,6511,1.41,1.3,4.26,539.321,11.9975
Kepler-1516 b,7.25931979,,5904,1.07,1.04,4.4,1358.95,14.4469
Kepler-1517 b,5.54608367,,7010,1.95,1.58,4.06,847.299,12.1739
Kepler-1518 b,5.11177904,,6846,1.88,1.54,4.08,903.51,13.2803
Kepler-1518 c,9.6310258,,6432,1.34,1.06,4.21,903.51,13.2803
Kepler-1519 b,240.7989397,,5644,0.91,0.94,4.5,1441.63,14.8034
Kepler-152 b,18.207973,,5088,0.72,,4.61,441.09,14.2437
Kepler-152 c,88.255055,,5088,0.72,,4.61,441.09,14.2437
Kepler-1520 b,0.65355357,,4677,0.71,0.76,4.61,607.917,15.6932
Kepler-1521 b,47.14840805,,5042,0.76,0.81,4.59,206.983,12.8476
Kepler-1522 b,1.84788917,,5706,0.93,0.96,4.49,814.125,14.1963
Kepler-1523 b,0.93875077,,5708,0.96,0.97,4.46,865.596,14.8369
Kepler-1524 b,70.9674603,,6179,1.25,1.17,4.31,381.773,12.7003
Kepler-1525 b,2.41660118,,5748,1.04,1.07,4.44,382.989,12.6919
Kepler-1526 b,3.908632,,4601,0.69,0.73,4.62,555.574,15.6551
Kepler-1527 b,160.129918,,6224,1.32,1.21,4.27,1842.13,15.0782
Kepler-1528 b,1.79111021,,5857,1.03,1.03,4.43,817.534,14.4764
Kepler-1529 b,5.33905686,,5048,0.77,0.81,4.58,661.014,15.3885
Kepler-153 b,18.870227,,5404,0.89,,4.45,459.368,14.2493
Kepler-153 c,46.90232,,5404,0.89,,4.45,459.368,14.2493
Kepler-1530 b,2.5904434,,5477,0.88,0.92,4.52,489.876,14.0055
Kepler-1530 c,5.3227406,,5477,0.88,0.92,4.52,489.876,14.0055
Kepler-1530 d,9.20761013,,5678,1.3,1.01,4.21,489.876,14.0055
Kepler-1531 b,1.13854338,,6260,1.27,1.16,4.29,666.334,13.1712
Kepler-1532 b,1.09366356,,5559,0.88,0.91,4.51,798.246,14.8028
Kepler-1533 b,308.5471,,6431,1.51,1.31,4.2,966.801,13.1678
Kepler-1534 b,5.71668872,,5442,0.86,0.9,4.52,,16.2352
Kepler-1535 b,138.9442,,6021,1.11,1.08,4.38,897.733,14.1798
Kepler-1536 b,364.758031,,4434,0.67,0.71,4.64,387.248,15.1407
Kepler-1537 b,1.4444538,,5079,0.77,0.81,4.58,517.292,14.5457
Kepler-1538 b,175.138819,,5837,1.03,1.03,4.42,1125.3,15.2279
Kepler-1539 b,133.3036741,,5176,0.8,0.84,4.57,748.326,15.3085
Kepler-154 b,33.040532,,5690,1,,4.42,915.212,14.5121
Kepler-154 c,62.303276,,5690,1,,4.42,915.212,14.5121
Kepler-154 d,20.54981883,,5769,0.98,0.98,4.45,915.212,14.5121
Kepler-154 e,3.93276465,,5769,0.98,0.98,4.45,915.212,14.5121
Kepler-154 f,9.91935684,,5769,0.98,0.98,4.45,915.212,14.5121
Kepler-1540 b,125.4131177,,4540,0.69,0.74,4.63,244.96,14.0831
Kepler-1541 b,8.40691199,,5282,0.81,0.86,4.56,416.692,13.7908
Kepler-1542 b,3.95116882,,5564,0.99,0.94,4.41,399.114,12.5876
Kepler-1542 c,2.89223021,,5564,0.99,0.94,4.41,399.114,12.5876
Kepler-1542 d,5.99273738,,5564,0.99,0.94,4.41,399.114,12.5876
Kepler-1542 e,5.10115756,,5564,0.99,0.94,4.41,399.114,12.5876
Kepler-1543 b,6.96710269,,6561,1.65,1.39,4.14,921.784,13.4193
Kepler-1544 b,168.811174,,4886,0.74,0.81,4.61,335.09,14.039
Kepler-1545 b,163.692349,,5201,0.8,0.84,4.57,729.964,15.0334
Kepler-1546 b,19.5974971,,5623,0.93,0.95,4.48,931.956,15.368
Kepler-1547 b,0.69297968,,6078,1.18,1.12,4.34,674.695,13.4085
Kepler-1548 b,124.828679,,5706,0.97,0.99,4.46,872.279,15.2455
Kepler-1549 b,214.886545,,5324,0.84,0.88,4.54,803.052,15.1516
Kepler-155 b,5.931194,,4508,0.62,,4.68,293.499,14.24
Kepler-155 c,52.661793,,4508,0.62,,4.68,293.499,14.24
Kepler-1550 b,225.582809,,5991,1.11,1.07,4.38,1179.01,14.8841
Kepler-1551 b,24.4973698,,6136,1.22,1.14,4.32,1463.72,15.0975
Kepler-1552 b,184.771853,,5202,0.78,0.85,4.58,769.096,14.9308
Kepler-1553 b,4.24261881,,5288,0.81,0.85,4.56,692.594,14.9914
Kepler-1554 b,198.088774,,5297,0.81,0.84,4.56,946.847,15.7147
Kepler-1555 b,8.10501635,,5866,1.06,1.04,4.4,2013.27,15.3259
Kepler-1556 b,8.82713457,,5608,0.95,0.97,4.47,944.54,15.2978
Kepler-1557 b,3.74032496,,6099,1.17,1.11,4.34,1380.16,15.2987
Kepler-1558 b,3.50470358,,5101,0.79,0.83,4.57,325.737,13.5998
Kepler-1559 b,0.97191543,,5316,0.82,0.86,4.55,614.827,14.488
Kepler-156 b,4.973456,,5094,0.81,,4.55,443.483,14.1564
Kepler-156 c,15.906801,,5094,0.81,,4.55,443.483,14.1564
Kepler-1560 b,3.03195744,,5815,1.02,1.02,4.43,502.497,13.3846
Kepler-1561 b,1.00520701,,5957,1.11,1.07,4.38,839.076,14.648
Kepler-1562 b,64.2737752,,5760,1.05,1.02,4.41,2060.72,15.2729
Kepler-1563 b,3.43276598,,5765,0.99,1,4.45,616.697,13.5682
Kepler-1564 b,18.0540381,,5528,0.9,0.93,4.5,908.805,14.9531
Kepler-1565 b,1.53818844,,4940,0.73,0.76,4.6,629.93,15.4317
Kepler-1566 b,0.53991524,,5254,0.81,0.84,4.56,466.586,14.3122
Kepler-1567 b,153.979578,,5655,0.93,0.95,4.49,1206.11,15.6322
Kepler-1568 b,20.925392,,5956,1.19,1.09,4.32,916.313,13.9451
Kepler-1569 b,5.79180156,,6319,1.4,1.25,4.24,945.454,13.9323
Kepler-157 b,1.732342,,5774,1.04,,4.39,773.713,14.0374
Kepler-157 c,13.5405,,5774,1.04,,4.39,773.713,14.0374
Kepler-157 d,7.02573474,,5866,1.03,1.02,4.42,773.713,14.0374
Kepler-1570 b,26.548955,,5550,0.89,0.92,4.5,918.995,13.9702
Kepler-1571 b,3.38555488,,6297,1.39,1.23,4.24,675.303,13.77
Kepler-1572 b,5.49548621,,5618,0.95,0.97,4.47,946.602,13.7175
Kepler-1573 b,2.6157554,,5808,1,1.01,4.44,1455.36,15.1693
Kepler-1574 b,6.9424334,,5892,1.08,1.06,4.4,1384.16,15.0937
Kepler-1575 b,2.55314213,,5667,0.92,0.95,4.49,1246.92,15.4185
Kepler-1576 b,6.98471973,,5876,1.06,1.05,4.4,460.91,13.3354
Kepler-1577 b,6.30560247,,4862,0.74,0.78,4.6,510.029,15.0571
Kepler-1578 b,1.45088691,,5545,0.86,0.9,4.53,1064.05,15.3281
Kepler-1579 b,0.84990789,,4584,0.7,0.75,4.63,,15.2481
Kepler-158 b,16.709184,,4623,0.62,,4.66,315.177,14.4165
Kepler-158 c,28.551383,,4623,0.62,,4.66,315.177,14.4165
Kepler-1580 b,56.6449279,,6228,2.15,1.47,3.94,1002.02,12.5755
Kepler-1581 b,6.28385491,,6022,1.23,1.12,4.31,493.175,12.3525
Kepler-1582 b,4.83817712,,3208,0.3,0.28,4.93,78.8906,16.4142
Kepler-1583 b,9.32807355,,5645,0.91,0.94,4.49,403.933,12.8414
Kepler-1584 b,13.3997099,,6069,1.13,1.1,4.37,1416.31,14.8844
Kepler-1585 b,3.5827463,,5538,0.91,0.94,4.5,944.465,15.9772
Kepler-1586 b,15.6049212,,6681,1.75,1.45,4.12,552.55,13.0556
Kepler-1587 b,9.4060467,,5933,1.22,1.08,4.3,1026.48,14.0315
Kepler-1588 b,7.84931739,,5817,0.99,0.96,4.43,924.141,13.821
Kepler-1589 b,0.99166527,,6166,1.25,1.18,4.32,1513.14,14.9651
Kepler-159 b,10.139623,,4625,0.66,,4.65,373.744,14.8882
Kepler-159 c,43.595792,,4625,0.66,,4.65,373.744,14.8882
Kepler-1590 b,7.61760804,,6053,1.16,1.11,4.35,771.152,14.077
Kepler-1591 b,8.18504949,,6082,1.16,1.1,4.35,1419.58,14.6583
Kepler-1592 b,3.05710069,,6213,1.28,1.18,4.29,1639.47,14.7857
Kepler-1593 b,174.509835,,4995,0.77,0.81,4.59,638.249,15.8836
Kepler-1594 b,2.71603809,,5946,1.08,1.06,4.39,976.868,14.7415
Kepler-1595 b,4.56380468,,5203,0.8,0.84,4.56,845.022,15.4006
Kepler-1596 b,66.373379,,5706,0.92,0.95,4.49,2146.23,15.3662
Kepler-1597 b,2.94654179,,6377,1.39,1.25,4.24,1221.05,14.1152
Kepler-1598 b,4.34195123,,5940,1.09,1.07,4.39,619.862,13.8135
Kepler-1599 b,122.363553,,5767,0.99,0.99,4.45,1328.2,14.9023
Kepler-16 b,228.776,105.833,4450,0.65,0.69,4.65,75.0852,11.7472
Kepler-160 b,4.309397,,5471,1.12,,,937.013,14.616
Kepler-160 c,13.699429,,5471,1.12,,,937.013,14.616
Kepler-160 d,30,100,5471,1.12,,,937.013,14.616
Kepler-1600 b,386.370548,,5214,0.82,0.86,4.55,1030.81,15.8138
Kepler-1600 c,7.29804993,,5119,0.83,0.82,4.51,1030.81,15.8138
Kepler-1601 b,2.20921951,,5869,1.07,1.04,4.4,644.456,13.6782
Kepler-1602 b,11.17931605,,6296,1.36,1.22,4.25,629.804,13.3012
Kepler-1603 b,2.27163926,,6241,1.31,1.21,4.28,2712.58,15.3397
Kepler-1604 b,0.68368426,,4976,0.76,0.81,4.59,541.189,14.8989
Kepler-1605 b,85.7565495,,5280,0.82,0.86,4.55,546.23,12.4129
Kepler-1606 b,196.435224,,5422,0.86,0.9,4.53,831.287,15.1062
Kepler-1607 b,13.6473676,,6116,1.21,1.14,4.33,1286.1,13.8751
Kepler-1608 b,16.4735686,,4992,0.72,0.75,4.61,,15.8947
Kepler-1609 b,114.34219,,6132,1.27,1.18,4.29,1826.04,14.9366
Kepler-161 b,4.921355,,5078,0.81,,4.55,434.632,14.1922
Kepler-161 c,7.06424,,5078,0.81,,4.55,434.632,14.1922
Kepler-1610 b,8.70181574,,5383,0.87,0.91,4.52,864.331,15.8137
Kepler-1610 c,44.9851885,,5295,0.8,0.82,4.55,864.331,15.8137
Kepler-1611 b,5.1762429,,5605,0.93,0.94,4.49,908.444,14.4116
Kepler-1612 b,3.91795101,,5643,0.94,0.96,4.48,764.726,14.7157
Kepler-1613 b,1.5184299,,6005,1.12,1.08,4.37,1508.33,14.068
Kepler-1614 b,3.9466141,,5121,0.76,0.79,4.58,1191.19,15.9408
Kepler-1615 b,47.3126192,,5865,1.05,1.04,4.42,1393.83,14.5237
Kepler-1616 b,6.76284377,,6266,1.34,1.21,4.26,1137.81,13.4295
Kepler-1617 b,27.4785572,,6167,1.22,1.15,4.32,898.31,13.6555
Kepler-1618 b,6.10826019,,6620,1.65,1.41,4.15,1229.25,13.5664
Kepler-1619 b,23.6225913,,5852,1,1,4.44,734.85,13.2994
Kepler-162 b,6.919798,,5816,0.96,,4.44,855.641,14.2231
Kepler-162 c,19.446355,,5816,0.96,,4.44,855.641,14.2231
Kepler-1620 b,101.951829,,6157,1.23,1.15,4.31,895.069,13.6228
Kepler-1621 b,92.263714,,6158,1.24,1.15,4.31,1631.66,15.0106
Kepler-1622 b,10.8118737,,6436,1.5,1.31,4.2,796.477,13.3442
Kepler-1623 b,4.36128348,,5772,1,1,4.44,837.481,14.9243
Kepler-1624 b,3.29030452,,3636,0.47,0.5,4.78,258.979,15.6681
Kepler-1625 b,287.378949,,5677,0.94,0.96,4.48,2310.11,15.7627
Kepler-1626 b,4.13962966,,6826,1.85,1.51,4.08,1368.83,14.2242
Kepler-1627 b,7.20283653,,5445,0.84,0.87,4.54,317.437,13.0492
Kepler-1628 b,76.378033,,3724,0.52,0.55,4.74,,16.9534
Kepler-1629 b,3.87595807,,5776,1.01,1.01,4.44,336.09,12.7136
Kepler-163 b,7.810937,,5776,0.92,,4.52,689.814,14.3796
Kepler-163 c,21.347262,,5776,0.92,,4.52,689.814,14.3796
Kepler-1630 b,509.997402,,4736,0.63,0.66,4.66,331.213,14.2049
Kepler-1631 b,4.09513932,,5679,0.95,0.97,4.47,1305.99,15.4951
Kepler-1632 b,448.303558,,6137,1.19,1.12,4.33,716.76,13.066
Kepler-1633 b,186.404271,,6256,1.32,1.2,4.27,1114.91,13.3918
Kepler-1634 b,374.876239,,5474,0.89,0.92,4.51,617.339,14.486
Kepler-1635 b,469.63111,,5347,0.85,0.89,4.53,1069.45,15.6928
Kepler-1636 b,425.47785,,5797,1.02,1.01,4.43,1947.54,15.7916
Kepler-1637 b,6.10960324,,5789,1.02,1.02,4.43,567.187,13.2726
Kepler-1638 b,259.33683,,5710,0.95,0.97,4.47,1525.52,14.7479
Kepler-1639 b,9.878482,,6150,1.18,1.12,4.34,1031.31,14.4686
Kepler-164 b,5.03503,,5888,1.15,,4.33,890.758,14.2329
Kepler-164 c,10.945723,,5888,1.15,,4.33,890.758,14.2329
Kepler-164 d,28.986769,,5888,1.15,,4.33,890.758,14.2329
Kepler-164 e,94.886902,,5888,1.1,0.97,4.34,890.758,14.2329
Kepler-1640 b,7.5844126,,6324,1.43,1.27,4.23,1859.78,14.9622
Kepler-1641 b,19.672266,,6152,1.19,1.12,4.34,860.37,14.2231
Kepler-1641 c,32.657212,,6152,1.19,1.12,4.34,860.37,14.2231
Kepler-1642 b,12.2057513,,5355,0.84,0.88,4.54,413.873,14.1012
